127.0.0.1 - - [20/Feb/2021:23:51:26 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:51:30 +0900] "GET /Jsp03_MVC/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:51:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:56:01 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=list HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:56:06 +0900] "POST /Jsp03_MVC/mycontroller.jsp?command=muldel HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:56:25 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=list HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:56:25 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=list HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:56:25 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=list HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:56:25 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=list HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:56:25 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=list HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:56:26 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=list HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:56:26 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=list HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:56:26 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=list HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:56:26 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=list HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:57:00 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=list HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:57:00 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=list HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [20/Feb/2021:23:57:00 +0900] "GET /Jsp03_MVC/mycontroller.jsp?command=list HTTP/1.1" 200 1136
