127.0.0.1 - - [12/Feb/2021:21:03:01 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Feb/2021:21:03:04 +0900] "GET /Jsp_practice/ HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [12/Feb/2021:21:03:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Feb/2021:21:03:30 +0900] "GET /Jsp_practice/ HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [12/Feb/2021:21:03:30 +0900] "GET /Jsp_practice/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2021:21:03:30 +0900] "GET /Jsp_practice/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2021:21:03:33 +0900] "GET /Jsp_practice/mylist.jsp HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [12/Feb/2021:21:04:01 +0900] "GET /Jsp_practice/mylist.jsp HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [12/Feb/2021:21:04:01 +0900] "GET /Jsp_practice/mylist.jsp HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [12/Feb/2021:21:04:01 +0900] "GET /Jsp_practice/mylist.jsp HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [12/Feb/2021:21:04:21 +0900] "GET /Jsp_practice/mylist.jsp HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [12/Feb/2021:21:04:21 +0900] "GET /Jsp_practice/mylist.jsp HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [12/Feb/2021:21:04:21 +0900] "GET /Jsp_practice/mylist.jsp HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [12/Feb/2021:21:04:21 +0900] "GET /Jsp_practice/mylist.jsp HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [12/Feb/2021:21:04:21 +0900] "GET /Jsp_practice/mylist.jsp HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [12/Feb/2021:21:04:22 +0900] "GET /Jsp_practice/mylist.jsp HTTP/1.1" 200 540
